,prod_name,price,old_price,price_ml,stars,reviews,delivery_date
180,Equave Revlon Equave Instant Beauty Hydro Champú 250 ml,10.9,11.69,4.36,4.3,259.0,6 de abril
181,"Revlon uniq One All in One Lotus Flower - Tratamiento para el cabello (6 unidades, 150 ml)",53.25,,5.92,5.0,1.0,
182,REVLON PRO YOU TEXTURE SCRUNCH CURLY HAIR 350 ml,8.95,,,5.0,1.0,
183,"Revlon - Lote de Uniq One (150 ml), 3 unidades",26.97,27.87,,4.7,2176.0,
184,REVLON PROFESSIONAL Nutri Color Filters #300 Yellow 100 ml,8.68,,,,,6 de abril
185,REVLON NUTRI COLOR 000/BLANCO 270ML,14.99,21.1,5.55,4.5,99.0,
186,"Schwarzkopf Professional BONACURE Peptide Repair Rescue, Mascarilla Nutritiva Intensa, 750ml",,,,4.5,682.0,
187,Uniq One Revlon Unique One Coconut Hair Treatment 2 Pack 5.1 oz by Uniq One All In One,22.86,,,5.0,4.0,
188,"Revlon Uniq One Coconut - Tratamiento capilar, 150 ml + Revlon Profesional - Pro You Nutritive - Champú nutritivo 350 ml",18.89,,3.78,4.3,31.0,
189,Revlon Professional ProYou Champú Hidratante 350 ml,5.95,,1.7,,,
190,Revlon Professional ProYou Champú Volumen 1000 ml,12.24,,1.22,,,
191,"Revlon Uniq One - Tratamiento para cabello, 2 x 150 ml",18.8,,,4.8,889.0,
192,Revlon Uniq One All in One - Tratamiento de té verde (2 x 150 ml = 300 ml),,,,5.0,1.0,
193,Revlon Intragen Total Detox Remedy Defend Suero - 50 ml,6.06,,,4.6,5.0,6 de abril
194,Revlon Intragen Total Detox Remedy Shampoo Champú - 1000 ml,,,,4.8,6.0,
195,Revlon Uniq One Coconut Champu 1000ml x 2 Unidades Total 2000ml,28.59,,1.43,4.7,9.0,
196,"Revlon Pack Be Fabulous Daily Care Champu 250ml + Acondicionador 250ml + Mascarilla 200ml Hidratacion, Brillo, Anti-Edad",27.89,,,,,
197,Revlon Flex 2 Fases Nutritivo Acondicionador - 400 ml,2.65,,0.66,4.4,235.0,6 de abril
198,Postquam - Therapy | Placenta Vegetal Postquam Crystal para Combatir la Caida de Pelo - 12 Ampollas x 9 ml,15.0,15.9,13.89,4.0,215.0,6 de abril
199,REVLON PROFESSIONAL Equave Volumen Set,24.5,,,4.7,10.0,
200,Revlon ProYou - Tratamiento de color (500 ml),13.59,,2.72,,,
201,Pack Revlon Equave Kids Champu 300 ml + Acondicionador 200 ml,21.0,,,4.5,11.0,
202,Revlon Flex Princess Look Acondicionador 2 Fases sin Aclarado - 400 ml,3.45,3.99,0.86,4.4,536.0,6 de abril
203,Revlon Professional ProYou Champú Control Caspa 350 ml,9.7,,2.77,,,6 de abril
204,Revlon Nutri Color Creme Tinte Tono 1003 Golden Blonde - 270 ml,19.41,,,4.1,154.0,
205,Revlon Uniq One Champu 1000ml + Tratamiento de Coconut 150ml,25.99,,,5.0,1.0,
206,Revlon Rev Equave Ib Sun Protection Conditioner 200Ml 200 ml,11.93,,5.97,4.4,30.0,6 de abril
207,Pack Revlon Uniq One Champu Coconut 1000ml + Tratamiento Coconut 150ml,25.99,,,4.0,17.0,
208,Revlon Eksperience Wave Remedy Antifrizz Mask 200 Ml 1 Unidad 250 g,17.35,,8.68,4.3,21.0,6 de abril
209,Equave Professional Shampoo & Acondicionadores (acondicionador volumizante),,,,4.2,12.0,
210,Revlon Intragen Total Detox Remedy Restore Mask Mascarilla - 200 ml,14.68,,,4.8,8.0,6 de abril
211,"Garnier Original Remedies Champú Sólido - Tesoros De Miel Para Cabello Dañado, Quebradizo (C6455400)",3.99,4.95,,4.2,554.0,6 de abril
212,Revlon Style Masters Volume Acondicionador - 250 ml,15.88,,,4.3,6.0,
213,L'Oréal Professionnel Champú Curl Contour 300 ml,7.15,,2.38,4.4,664.0,6 de abril
214,Revlon Be Fabulous Daily Care Loción Spray - 150 ml,,,,4.8,13.0,
215,Revlon UniqOne Tratamiento 150ml + Revlon ProYou Champu Repair 350 ml,15.99,,,4.4,8.0,6 de abril
216,Aceite de Ricino 500 ml - 100% virgen - 1a presión en frío - Ricinus Communis,11.9,,,4.5,551.0,6 de abril
217,Revlon Be Fabulous Curly Shampoo Champú - 250 ml,14.22,,5.69,4.0,47.0,
218,Revlon Orofluido Conditioner Acondicionador - 1000 ml,17.89,,,4.2,59.0,
219,"Kyara Lambert - Shampoo Densificador x2 con Colágeno Marino concentrado | Densyfing Shampoo | Champú para Cabellos Finos, Volumen, Vitalidad y Fuerza | Sin siliconas",27.5,,6.88,3.4,26.0,6 de abril
220,Revlon Eksperience Wave Remedy Hair Cleanser 250 Ml 1 Unidad 100 g,18.5,,7.4,4.6,33.0,6 de abril
221,Sin especificar Revlon Uniq One All in One Champu 300 ml 400 g,9.57,,3.19,4.5,125.0,7 de abril
222,"EKS - Champú intensificante del color, 250 ml.",20.1,,8.04,4.3,8.0,6 de abril
223,Revlon Professional 8007376029286 proyou Color Gingko Biloba Extract Color Protecting Champú for Color de Hair tratado,,,,5.0,1.0,
224,"Revlon, Revelador para tintes de pelo, 900 ml.",,,,4.2,11.0,
225,Revlon Professional Uniq One Coconut Treatment,,,,,,
226,3 x Uniq One Coco Hair Treatment 150 ml. All-in-one,26.89,,5.98,4.7,12.0,
227,"Revlon Professional D: fi Daily Conditioner, 1er Pack (1 x 1 l)",9.02,,,5.0,3.0,
228,"Crema Nutri Color, de Revlon Professional",29.69,,11.0,4.2,1037.0,
229,Revlon Nutri Color Creme Tinte Tono 400 Tangerine - 100 ml,10.35,11.54,10.35,4.6,98.0,
230,Revlon COLORSILK Champú Glowing Rubio,11.28,,,4.4,73.0,6 de abril
231,Revlon Eksperience Densi Pro Cleanser 250 Ml 1 Unidad 100 g,22.57,,9.03,4.6,18.0,
232,Revlon - Intercosmo Magnifico 150 ml,10.0,,,4.4,394.0,6 de abril
233,"Revlon Eksperience Color Protection - Mascarilla protectora del color, 200 ml",,,,4.9,19.0,
234,Revlon Style Masters Curly FanatiCurls 150 ml,,,,4.5,2.0,
235,Revlon Professional ProYou Champú Suavizante 350 ml,5.73,12.1,1.64,,,
236,Revlon UniqOne Coconut Conditioning Champú - 1000 ml,,,,4.5,754.0,
237,"Revlon Orofluido Volume Mousse Medium Hold, Tratamiento Capilar - 300 ml",,,,4.2,21.0,
238,Orofluido Original Champú Libre de Sulfatos Todo Tipo de Cabello 200 ml,4.99,7.99,,4.3,604.0,6 de abril
239,Revlon Uniq 1 All in One Shampoo 300ml and Hair Treatment 150ml Gift Pack,15.9,,,4.3,20.0,
240,Revlon Uniq OneA CONDICIONADOR 150ml (Set of 6) by Uniq One,55.0,,6.11,4.8,186.0,
241,Orofluido Original Elixir de Belleza Serum para todo tipo de Cabello 100 ml,9.95,13.89,9.95,4.5,727.0,6 de abril
242,Revlon Professional 8007376029279 proyou Color Gingko Biloba Extract Color Protecting Champú for Color de Hair tratado,26.4,,2.64,,,
243,Revlon Style Masters Pure Laca - 325 ml,,,,3.7,7.0,
244,Revlon Style Masters Reset 150 Ml 150 g,,,,3.8,34.0,
