,prod_name,price_whole,price_bulk,price_old,stars,reviews,delivery_date
120,"Schwarzkopf - 3D Men - Hair-Scalp-Roots - Champú anticaspa, 250 ml","4,60","(1,84 €/100 ml)",,"4,6 de 5 estrellas",8.0,"mañana, 7 de abril"
121,Loreal Expert Absolut Repair Gold Acondicionador 1000 ml,"21,69","(2,17 €/100 ml)",,"4,6 de 5 estrellas",777.0,
122,"Schwarzkopf Professional, Cuidado del pelo y del cuero cabelludo - 1 unidad",,,,"4,5 de 5 estrellas",81.0,
123,Fanola Champú REBALANCE Antigrasa 1000mL 1L - Elimina grasa cabello - Purifica - PROFESIONAL,"9,99","(1,00 €/100 ml)",,"4,1 de 5 estrellas",221.0,
124,Cocochoco ORO Brazilian blow dry Alaciado DE CABELLO TRATAMIENTO DE KERATINA 1000ml,"103,00","(10,30 €/100 ml)",,"4,5 de 5 estrellas",307.0,
125,Beauty evolution - Champú profesional after color tras color con pH ácido específico para el mantenimiento del color (1000 ml).,"13,20","(1,32 €/100 ml)",,"3,0 de 5 estrellas",1.0,"jueves, 8 de abril"
126,Eva Professional Hair Care Pack Vitamin Limited Edition Original y Ohlàlà 250 ml,"22,28","(22,28 €/unidad)",,"4,5 de 5 estrellas",31.0,"mañana, 7 de abril"
127,"Válquer Profesional Ice Hair Mask. Mascarilla Capilar efecto hielo potenciador color y brillo. Sin sal, sin parabenos y sin sulfatos. Cabellos teñidos - 300 ml","14,94","(4,98 €/100 ml)",,"3,8 de 5 estrellas",5.0,
128,Valquer Profesional Champú profesional equilibrante con Aloe Vera Ecológico-1000ml,"12,70","(0,25 €/100 ml)","15,50 €","4,5 de 5 estrellas",5.0,"mañana, 7 de abril"
129,"Dr. Sante Mascarilla Capilar Profesional Hidratante Queratina (Keratina), Colágeno Y Arginina Cabello - Pelo Seco Y Quebradizo Natural Sin Parabenos Dr. Sante 1000Ml 1000 ml","17,19","(1,72 €/100 ml)",,"4,3 de 5 estrellas",868.0,"mañana, 7 de abril"
130,"Moi Profesional Champú Profesional Neutro Suave Bamboo Natural sin Parabenos, Uso Frecuente 100 ml Moi Haircare 1 Unidad 120 g","6,99","(5,83 €/100 g)",,"4,4 de 5 estrellas",2.0,
131,Tratamiento Hidratante Hidratante Sistema pelo de la queratina,"4,65",,"5,03 €","3,4 de 5 estrellas",5.0,"mañana, 7 de abril"
132,"Wella Elements - Champú regenerator, 1000 ml","23,49","(2,35 €/100 ml)",,"4,4 de 5 estrellas",1.026,"jueves, 8 de abril"
133,Farmavita Amethyste Hydrate Velvet Mask Mascarilla - 1000 ml,"10,95","(1,10 €/100 ml)",,"4,7 de 5 estrellas",48.0,
134,"Onlys Botanic Champu Natural Hidratante y Antiencrespamiento con 70% Aloe Vera y Ginseng, Sin Sulfatos ni Siliconas ni Parabenos. Tratamiento Profesional Vegano No Testeado en Animales 250 ml ","14,90",,,"4,1 de 5 estrellas",14.0,"mañana, 7 de abril"
135,Wella Eimi Flexible Finish Laca - 250 ml,"14,75","(14,75 €/unidad)",,"4,4 de 5 estrellas",6.0,
136,"Fanola Champú NO YELLOW Antiamarillo - Especial cabellos grises, aclarados, decolorados, mechas, rubio claro - PROFESIONAL 350mL","6,70","(1,91 €/100 ml)","6,99 €","4,4 de 5 estrellas",37.992,"jueves, 8 de abril"
137,"Mascara De Cabello Tratamiento, Acondicionadorpara El Cabello 5 Segundos Reparaciones DañO RaíZ Del Cabello TóNico Para El Cabello Tratamiento De Queratina Y Cuero Cabelludo (60 Ml)","8,85","(14,75 €/100 ml)",,"3,5 de 5 estrellas",736.0,"viernes, 9 de abril"
138,"Blumin Champú Profesional de Peluquería Protector Cabellos Teñidos, 5 Litros","20,65","(0,41 €/100 ml)",,"4,5 de 5 estrellas",2.0,"mañana, 7 de abril"
139,Mascarilla Profesional - By G. Bera- ACEITE DE COCO 100% NATURAL,"20,99","(2,10 €/100 g)",,"4,0 de 5 estrellas",60.0,"mañana, 7 de abril"
140,L'oreal Expert Professionnel Absolut Repair Gold Mask 500 ml - 1 unidad,"19,99","(4,00 €/100 ml)",,"4,5 de 5 estrellas",2.409,
141,"L'Oréal Professionnel, Acondicionador de pelo - 200 ml.","14,89","(7,45 €/100 ml)",,"4,3 de 5 estrellas",116.0,
142,Fibras espesantes para el cabello LUXE con queratina natural - ¡Tratamiento para 2 meses! - Probado por dermatólogos - Hipoalergénico - Multiples colores disponibles. Marrón medio,"19,95","(79,80 €/100 g)",,"4,1 de 5 estrellas",1.816,"domingo, 11 de abril"
143,"L'Oréal Professionnel, Suero de pelo - 50 ml.","11,07","(22,14 €/100 ml)","14,30 €","4,3 de 5 estrellas",27.0,
