year,week,date,track,artists,url,track_popularity,track_name,track_artists,track_album_name,track_href,track_album_release_date,owner_id
2012,49,8 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,57.0,Diamonds,['Rihanna'],Unapologetic (Deluxe),https://api.spotify.com/v1/tracks/4JQSMg83F8qYwSBt5xOXsQ,2012-12-10,nestorviolin
2012,49,8 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,3.0,Diamonds,['Rihanna'],Unapologetic (Deluxe),https://api.spotify.com/v1/tracks/1Xvg4kyNwLA3ae4nKsea41,2012-12-10,nestorviolin
2012,49,8 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,10.0,Diamonds,['Rihanna'],Diamonds,https://api.spotify.com/v1/tracks/1mwt9hzaH7idmC5UCoOUkz,2012-09-27,elsapato
2012,50,15 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,69.0,Diamonds,['Rihanna'],Unapologetic (Deluxe),https://api.spotify.com/v1/tracks/6O20JhBJPePEkBdrB5sqRx,2012-12-11,aechos
2012,50,15 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,57.0,Diamonds,['Rihanna'],Unapologetic (Deluxe),https://api.spotify.com/v1/tracks/4JQSMg83F8qYwSBt5xOXsQ,2012-12-10,nestorviolin
2012,50,15 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,3.0,Diamonds,['Rihanna'],Unapologetic (Deluxe),https://api.spotify.com/v1/tracks/1Xvg4kyNwLA3ae4nKsea41,2012-12-10,nestorviolin
2012,50,15 de diciembre,Diamonds,['Rihanna'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,10.0,Diamonds,['Rihanna'],Diamonds,https://api.spotify.com/v1/tracks/1mwt9hzaH7idmC5UCoOUkz,2012-09-27,elsapato
2012,51,22 de diciembre,This Is Love,"['will.i.am', 'Eva Simons']",https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2012,3.0,This Is Love,"['will.i.am', 'Eva Simons']",This Is Love,https://api.spotify.com/v1/tracks/6zX1edWck5DxIBWQMOUXO5,2012-01-01,amane88
2013,2,12 de enero,We Are Never Ever Getting Back Together,['Taylor Swift'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,2.0,We Are Never Ever Getting Back Together,['Taylor Swift'],We Are Never Ever Getting Back Together,https://api.spotify.com/v1/tracks/32Z4ioCoKKsKMFS9vhzkJJ,2012-01-01,popersea
2013,4,26 de enero,Die Young,['Kesha'],https://es.wikipedia.org/wiki/Anexo:Los_n%C3%BAmeros_uno_de_Los_40_Principales_(Espa%C3%B1a)_2013,18.0,Die Young,['Kesha'],Warrior (Deluxe Version),https://api.spotify.com/v1/tracks/6mnjcTmK8TewHfyOp3fC9C,2012-11-30,angelus_
