,date,open,close,volume,change,changePercent,vwap
215,2015-12-28,118.1,118.75,2777200.0,-0.65,-0.55,118.56667
216,2015-12-29,119.0,120.07,3213900.0,-1.07,-0.899,119.70667
217,2015-12-30,119.64,119.43,2400800.0,0.21,0.176,119.55
218,2015-12-31,118.82,118.14,3723200.0,0.68,0.572,118.42
219,2016-01-04,117.25,117.58,9995000.0,-0.33,-0.281,117.06
220,2016-01-05,117.41,119.2,6314000.0,-1.79,-1.525,118.57333
221,2016-01-06,118.0,118.4,6543800.0,-0.4,-0.339,118.49333
222,2016-01-07,117.44,115.66,7477900.0,1.78,1.516,116.40667
223,2016-01-08,115.75,115.48,6103400.0,0.27,0.233,116.07
224,2016-01-11,115.65,116.69,6392400.0,-1.04,-0.899,116.44333
225,2016-01-12,117.03,117.44,5639700.0,-0.41,-0.35,117.11667
226,2016-01-13,117.69,115.12,6986000.0,2.57,2.184,116.02333
227,2016-01-14,115.59,116.62,9204500.0,-1.03,-0.891,115.58333
228,2016-01-15,114.26,115.18,10201900.0,-0.92,-0.805,115.28
229,2016-01-19,116.63,117.5,9195300.0,-0.87,-0.746,117.05667
230,2016-01-20,116.97,115.78,11905200.0,1.19,1.017,116.05333
231,2016-01-21,116.51,117.84,9839100.0,-1.33,-1.142,117.35667
232,2016-01-22,118.44,118.4,9016600.0,0.04,0.034,118.17333
233,2016-01-25,121.85,119.2,15141500.0,2.65,2.175,119.76667
234,2016-01-26,119.6,120.43,8326100.0,-0.83,-0.694,120.24333
235,2016-01-27,120.88,120.87,7409000.0,0.01,0.008,120.77333
236,2016-01-28,121.1,122.38,7460500.0,-1.28,-1.057,121.72667
237,2016-01-29,122.77,123.78,10549900.0,-1.01,-0.823,123.62667
238,2016-02-01,123.08,124.61,6189900.0,-1.53,-1.243,124.15333
239,2016-02-02,124.05,123.95,7653000.0,0.1,0.081,123.79667
240,2016-02-03,124.36,121.47,9327000.0,2.89,2.324,122.29667
241,2016-02-04,121.04,120.66,7595000.0,0.38,0.314,120.20667
242,2016-02-05,120.65,115.4,13261700.0,5.25,4.351,117.00333
243,2016-02-08,114.05,116.05,11311500.0,-2.0,-1.754,115.04
244,2016-02-09,115.54,117.01,7525700.0,-1.47,-1.272,116.72
245,2016-02-10,118.02,117.54,5726300.0,0.48,0.407,117.77667
246,2016-02-11,115.74,116.73,7568600.0,-0.99,-0.855,116.64
247,2016-02-12,116.72,117.93,8552800.0,-1.21,-1.037,117.45333
248,2016-02-16,118.42,119.18,10835800.0,-0.76,-0.642,118.65333
249,2016-02-17,119.18,118.64,12729000.0,0.54,0.453,118.25333
250,2016-02-18,118.81,117.17,9707100.0,1.64,1.38,117.85333
251,2016-02-19,117.0,116.53,10793700.0,0.47,0.402,116.56333
252,2016-02-22,116.53,117.67,6223300.0,-1.14,-0.978,117.45333
253,2016-02-23,117.35,116.9,5276700.0,0.45,0.383,117.3
254,2016-02-24,116.32,117.06,5349800.0,-0.74,-0.636,116.73
255,2016-02-25,117.43,118.37,6034000.0,-0.94,-0.8,118.01
256,2016-02-26,117.98,117.06,5193700.0,0.92,0.78,117.16667
257,2016-02-29,116.8,117.19,6467700.0,-0.39,-0.334,117.42333
258,2016-03-01,117.91,118.85,4731500.0,-0.94,-0.797,118.60333
259,2016-03-02,118.56,118.48,4267700.0,0.08,0.067,118.29
260,2016-03-03,117.48,116.69,9132000.0,0.79,0.672,116.49667
261,2016-03-04,116.72,117.18,5857400.0,-0.46,-0.394,116.84333
262,2016-03-07,117.03,117.15,5640700.0,-0.12,-0.103,116.94667
263,2016-03-08,116.21,118.42,6236200.0,-2.21,-1.902,117.90333
264,2016-03-09,119.24,119.64,6428200.0,-0.4,-0.335,119.43333
265,2016-03-10,119.91,119.98,6171200.0,-0.07,-0.058,119.83333
266,2016-03-11,120.49,121.55,7042300.0,-1.06,-0.88,121.30667
267,2016-03-14,121.81,122.9,7912100.0,-1.09,-0.895,122.61333
268,2016-03-15,122.3,123.43,5061400.0,-1.13,-0.924,123.13333
269,2016-03-16,123.33,123.52,6716700.0,-0.19,-0.154,123.41667
270,2016-03-17,123.27,123.16,6108700.0,0.11,0.089,123.37333
271,2016-03-18,123.43,124.08,14783800.0,-0.65,-0.527,123.65
272,2016-03-21,123.66,123.81,4050100.0,-0.15,-0.121,123.78667
273,2016-03-22,123.79,123.82,3494500.0,-0.03,-0.024,123.92333
274,2016-03-23,124.1,124.19,4143600.0,-0.09,-0.073,124.35
275,2016-03-24,123.69,123.29,5796700.0,0.4,0.323,123.31667
276,2016-03-28,124.0,123.17,4784400.0,0.83,0.669,123.49667
277,2016-03-29,123.43,123.97,7188200.0,-0.54,-0.437,123.96
278,2016-03-30,124.9,125.83,4853700.0,-0.93,-0.745,125.51
279,2016-03-31,126.15,125.68,7685900.0,0.47,0.373,126.08333
280,2016-04-01,125.19,127.02,5212400.0,-1.83,-1.462,126.42667
281,2016-04-04,127.05,127.57,4239300.0,-0.52,-0.409,127.44
282,2016-04-05,126.84,127.38,6282200.0,-0.54,-0.426,127.18333
283,2016-04-06,127.47,127.52,5619900.0,-0.05,-0.039,127.35
284,2016-04-07,127.37,128.14,4720800.0,-0.77,-0.605,127.89333
285,2016-04-08,128.28,127.96,3625600.0,0.32,0.249,127.99333
286,2016-04-11,128.35,127.56,6973700.0,0.79,0.616,127.9
287,2016-04-12,128.08,127.61,5211400.0,0.47,0.367,127.59333
288,2016-04-13,127.71,126.89,4985200.0,0.82,0.642,126.96333
289,2016-04-14,127.14,127.51,4834800.0,-0.37,-0.291,127.54667
290,2016-04-15,127.08,127.78,3103800.0,-0.7,-0.551,127.59333
291,2016-04-18,127.78,128.85,4525600.0,-1.07,-0.837,128.48
292,2016-04-19,128.91,128.86,4606300.0,0.05,0.039,128.77667
293,2016-04-20,129.31,128.55,5006700.0,0.76,0.588,128.95333
294,2016-04-21,128.55,125.79,7947600.0,2.76,2.147,126.71333
295,2016-04-22,128.17,125.5,9311300.0,2.67,2.083,126.42
296,2016-04-25,125.07,127.46,6979900.0,-2.39,-1.911,126.66667
297,2016-04-26,127.42,127.71,4082300.0,-0.29,-0.228,127.69333
298,2016-04-27,127.94,128.3,4436200.0,-0.36,-0.281,128.21333
299,2016-04-28,127.86,127.92,3385800.0,-0.06,-0.047,128.07
300,2016-04-29,127.93,126.49,6276900.0,1.44,1.126,126.84
301,2016-05-02,126.65,128.2,4830800.0,-1.55,-1.224,127.64
302,2016-05-03,127.4,128.4,4048400.0,-1.0,-0.785,128.25667
303,2016-05-04,127.57,129.33,6613700.0,-1.76,-1.38,129.11
304,2016-05-05,129.31,129.28,4519700.0,0.03,0.023,129.42
305,2016-05-06,129.38,130.58,4418400.0,-1.2,-0.928,129.91667
306,2016-05-09,130.65,130.83,5006800.0,-0.18,-0.138,130.89333
307,2016-05-10,130.85,131.6,4082600.0,-0.75,-0.573,131.47
308,2016-05-11,131.24,129.14,6890200.0,2.1,1.6,129.96667
309,2016-05-12,129.74,130.12,4286800.0,-0.38,-0.293,129.94
310,2016-05-13,129.74,128.83,6568700.0,0.91,0.701,129.23333
311,2016-05-16,128.51,129.64,4343600.0,-1.13,-0.879,129.14
312,2016-05-17,129.6,127.69,5826200.0,1.91,1.474,128.32
313,2016-05-18,127.05,126.21,7303200.0,0.84,0.661,126.47
314,2016-05-19,125.48,125.29,6255100.0,0.19,0.151,125.19
315,2016-05-20,124.74,122.56,9735900.0,2.18,1.748,123.23333
316,2016-05-23,122.76,122.81,7081600.0,-0.05,-0.041,123.00333
317,2016-05-24,123.39,123.95,4494100.0,-0.56,-0.454,123.91
318,2016-05-25,123.75,123.26,5307400.0,0.49,0.396,123.42667
319,2016-05-26,123.38,123.79,3716300.0,-0.41,-0.332,123.66667
320,2016-05-27,124.27,123.25,3222800.0,1.02,0.821,123.68333
321,2016-05-31,123.3,122.06,7995200.0,1.24,1.006,122.36333
322,2016-06-01,122.06,121.97,5057200.0,0.09,0.074,122.07
323,2016-06-02,120.7,121.17,4740200.0,-0.47,-0.389,121.07667
324,2016-06-03,121.09,121.35,4643000.0,-0.26,-0.215,121.12
325,2016-06-06,121.79,122.0,4901700.0,-0.21,-0.172,121.79333
326,2016-06-07,122.34,121.9,4562100.0,0.44,0.36,122.39333
327,2016-06-08,121.98,122.11,3925900.0,-0.13,-0.107,121.83
328,2016-06-09,122.07,122.79,4583400.0,-0.72,-0.59,122.65
329,2016-06-10,121.8,122.36,4347400.0,-0.56,-0.46,122.21
330,2016-06-13,121.95,122.99,5436700.0,-1.04,-0.853,122.93667
331,2016-06-14,122.54,122.51,6351400.0,0.03,0.024,122.54333
332,2016-06-15,123.15,122.25,4168100.0,0.9,0.731,122.56667
333,2016-06-16,121.84,122.47,3931800.0,-0.63,-0.517,122.01667
334,2016-06-17,122.23,122.27,8331400.0,-0.04,-0.033,122.13333
335,2016-06-20,123.32,123.42,5951000.0,-0.1,-0.081,123.59
336,2016-06-21,123.92,122.63,4749000.0,1.29,1.041,122.98
337,2016-06-22,121.31,120.62,6578900.0,0.69,0.569,120.70667
338,2016-06-23,121.48,121.21,3832800.0,0.27,0.222,121.2
339,2016-06-24,118.76,119.44,6985900.0,-0.68,-0.573,119.61333
340,2016-06-27,118.16,116.3,14150500.0,1.86,1.574,116.84667
341,2016-06-28,117.2,118.5,6173000.0,-1.3,-1.109,117.99
